Visit Duration in Minutes,Visits
0-1,496118
 1-2,21673
 2-3,14185
 3-4,10167
 4-5,7582
 5-6,5950
 6-7,4606
 7-8,3691
 8-9,3138
 9-10,2680
 10-11,2299
 11-12,1982
 12-13,1845
13-14,1598
14-15,1437
15-16,1322
16-17,1188
17-18,1175
18-19,1054
19-20,1002
20-21,874
21-22,769
22-23,777
23-24,790
24-25,703
25-26,678
26-27,720
27-28,676
28-29,577
29-30,581
30-31,385
31-32,335
32-33,273
33-34,238
34-35,204
35-36,198
36-37,194
37-38,154
38-39,139
39-40,118
40-41,117
41-42,111
42-43,87
43-44,101
44-45,82
45-46,67
46-47,79
47-48,65
48-49,68
49-50,61
50-51,61
51-52,54
52-53,39
53-54,44
54-55,41
55-56,35
56-57,26
57-58,19
58-59,29
59-60,27
> 60,352
